proxy,fold,method,seed,n_source_files,n_target_files,n_source_windows,n_target_windows,n_features,fit_seconds,macro_f1,accuracy,n_classes,f1_B,f1_IR,f1_OR,f1_N,recall_B,recall_IR,recall_OR,recall_N
A_P2,load1,M7,1,121,40,3080,1040,49,7.334617376327515,0.5862855104655519,0.6394230769230769,4,0.6398467432950191,0.7969348659003831,0.6953020134228188,0.21305841924398625,0.6374045801526718,0.7938931297709924,0.534020618556701,1.0
A_P2,load2,M7,1,121,40,3088,1032,49,7.451561212539673,0.5737734460299957,0.6443798449612403,4,0.6923076923076923,0.8384615384615385,0.7020408163265306,0.06228373702422145,0.6870229007633588,0.8320610687022901,0.5408805031446541,0.2903225806451613
A_P2,load3,M7,1,121,40,3088,1032,49,7.353480100631714,0.6252972682285585,0.6792635658914729,4,0.7692307692307693,0.8153846153846154,0.7020408163265306,0.21453287197231835,0.7633587786259542,0.8091603053435115,0.5408805031446541,1.0
A_P2,load0,M10,0,120,41,3104,1016,49,29.15987801551819,0.6761563615516727,0.8631889763779528,4,0.7743119266055046,0.9418837675350702,0.8884297520661157,0.1,0.8053435114503816,0.9362549800796812,0.8884297520661157,0.05263157894736842
A_P2,load1,M10,0,121,40,3080,1040,49,28.308833837509155,0.912469651916767,0.8980769230769231,4,0.8015717092337917,0.9489603024574669,0.9152196118488254,0.9841269841269841,0.7786259541984732,0.9580152671755725,0.9237113402061856,1.0
A_P2,load2,M10,0,121,40,3088,1032,49,29.291012048721313,0.6619827297002374,0.8691860465116279,4,0.7925170068027211,0.9544554455445544,0.9009584664536742,0.0,0.8893129770992366,0.9198473282442748,0.8867924528301887,0.0
A_P2,load3,M10,0,121,40,3088,1032,49,24.826706171035767,0.9044271244894447,0.875968992248062,4,0.8231292517006803,0.9153846153846154,0.8791946308724832,1.0,0.9236641221374046,0.9083969465648855,0.8238993710691824,1.0
A_P2,load0,M10,1,120,41,3104,1016,49,29.130829095840454,0.6761563615516727,0.8631889763779528,4,0.7743119266055046,0.9418837675350702,0.8884297520661157,0.1,0.8053435114503816,0.9362549800796812,0.8884297520661157,0.05263157894736842
A_P2,load1,M10,1,121,40,3080,1040,49,28.326029539108276,0.912469651916767,0.8980769230769231,4,0.8015717092337917,0.9489603024574669,0.9152196118488254,0.9841269841269841,0.7786259541984732,0.9580152671755725,0.9237113402061856,1.0
A_P2,load2,M10,1,121,40,3088,1032,49,29.462392807006836,0.6619827297002374,0.8691860465116279,4,0.7925170068027211,0.9544554455445544,0.9009584664536742,0.0,0.8893129770992366,0.9198473282442748,0.8867924528301887,0.0
A_P2,load3,M10,1,121,40,3088,1032,49,25.179872035980225,0.9044271244894447,0.875968992248062,4,0.8231292517006803,0.9153846153846154,0.8791946308724832,1.0,0.9236641221374046,0.9083969465648855,0.8238993710691824,1.0
A_P3,12k_to_48k,M0,0,105,52,3263,745,49,2.908766984939575,0.6992483307686218,0.7221476510067114,3,0.6558265582655827,0.6736111111111112,0.7683073229291717,,0.6722222222222223,0.5739644970414202,0.8080808080808081,
A_P3,48k_to_12k,M0,0,52,105,745,3263,49,1.1353182792663574,0.6350674028991705,0.636837266319338,3,0.6148936170212767,0.6423200859291085,0.6479885057471264,,0.6658986175115207,0.6889400921658986,0.5907007203667322,
A_P3,12k_to_48k,M0,1,105,52,3263,745,49,2.898096799850464,0.6992483307686218,0.7221476510067114,3,0.6558265582655827,0.6736111111111112,0.7683073229291717,,0.6722222222222223,0.5739644970414202,0.8080808080808081,
A_P3,48k_to_12k,M0,1,52,105,745,3263,49,1.1818621158599854,0.6350674028991705,0.636837266319338,3,0.6148936170212767,0.6423200859291085,0.6479885057471264,,0.6658986175115207,0.6889400921658986,0.5907007203667322,
A_P3,12k_to_48k,M1,0,105,52,3263,745,49,2.859257936477661,0.4908114950192745,0.4966442953020134,3,0.6844919786096256,0.2779291553133515,0.5100133511348465,,0.7111111111111111,0.30177514792899407,0.4823232323232323,
A_P3,48k_to_12k,M1,0,52,105,745,3263,49,1.2363758087158203,0.598345064011221,0.61569108182654,3,0.5673940949935815,0.5657320872274143,0.6619090098126673,,0.5092165898617511,0.5230414746543779,0.7288801571709234,
