proxy,fold,method,seed,n_source_files,n_target_files,macro_f1,accuracy,n_classes,f1_B,recall_B,f1_IR,recall_IR,f1_OR,recall_OR,f1_N,recall_N
A_P2,load3,N8,0,121,40,0.6317460317460317,0.7,4,0.5714285714285714,0.6,0.7777777777777778,0.7,0.7777777777777778,0.7368421052631579,0.4,1.0
A_P2,load3,N8,1,121,40,0.6317460317460317,0.7,4,0.5714285714285714,0.6,0.7777777777777778,0.7,0.7777777777777778,0.7368421052631579,0.4,1.0
A_P2,load3,N8,2,121,40,0.6317460317460317,0.7,4,0.5714285714285714,0.6,0.7777777777777778,0.7,0.7777777777777778,0.7368421052631579,0.4,1.0
A_P2,load3,N4,0,121,40,0.16101694915254236,0.475,4,0.0,0.0,0.0,0.0,0.6440677966101694,1.0,0.0,0.0
A_P2,load3,N4,1,121,40,0.16101694915254236,0.475,4,0.0,0.0,0.0,0.0,0.6440677966101694,1.0,0.0,0.0
A_P2,load3,N4,2,121,40,0.16101694915254236,0.475,4,0.0,0.0,0.0,0.0,0.6440677966101694,1.0,0.0,0.0
A_P3,12k_to_48k,N0,0,105,52,0.6180235535074244,0.6923076923076923,3,0.47619047619047616,0.4166666666666667,0.5714285714285714,0.5,0.8064516129032258,0.8928571428571429,,
A_P3,12k_to_48k,N0,1,105,52,0.6180235535074244,0.6923076923076923,3,0.47619047619047616,0.4166666666666667,0.5714285714285714,0.5,0.8064516129032258,0.8928571428571429,,
A_P3,12k_to_48k,N0,2,105,52,0.6180235535074244,0.6923076923076923,3,0.47619047619047616,0.4166666666666667,0.5714285714285714,0.5,0.8064516129032258,0.8928571428571429,,
A_P3,12k_to_48k,N6,0,105,52,0.6180235535074244,0.6923076923076923,3,0.47619047619047616,0.4166666666666667,0.5714285714285714,0.5,0.8064516129032258,0.8928571428571429,,
A_P3,12k_to_48k,N6,1,105,52,0.6180235535074244,0.6923076923076923,3,0.47619047619047616,0.4166666666666667,0.5714285714285714,0.5,0.8064516129032258,0.8928571428571429,,
A_P3,12k_to_48k,N6,2,105,52,0.6180235535074244,0.6923076923076923,3,0.47619047619047616,0.4166666666666667,0.5714285714285714,0.5,0.8064516129032258,0.8928571428571429,,
A_P3,12k_to_48k,N8,0,105,52,0.43241436925647453,0.5961538461538461,3,0.42105263157894735,0.3333333333333333,0.13333333333333333,0.08333333333333333,0.7428571428571429,0.9285714285714286,,
A_P3,12k_to_48k,N8,1,105,52,0.43241436925647453,0.5961538461538461,3,0.42105263157894735,0.3333333333333333,0.13333333333333333,0.08333333333333333,0.7428571428571429,0.9285714285714286,,
A_P3,12k_to_48k,N8,2,105,52,0.43241436925647453,0.5961538461538461,3,0.42105263157894735,0.3333333333333333,0.13333333333333333,0.08333333333333333,0.7428571428571429,0.9285714285714286,,
A_P3,12k_to_48k,N4,0,105,52,0.23628691983122363,0.5384615384615384,3,0.0,0.0,0.0,0.0,0.7088607594936709,1.0,,
A_P3,12k_to_48k,N4,1,105,52,0.23628691983122363,0.5384615384615384,3,0.0,0.0,0.0,0.0,0.7088607594936709,1.0,,
A_P3,12k_to_48k,N4,2,105,52,0.23628691983122363,0.5384615384615384,3,0.0,0.0,0.0,0.0,0.7088607594936709,1.0,,
A_P3,48k_to_12k,N0,0,52,105,0.5018518518518519,0.5333333333333333,3,0.5277777777777778,0.6785714285714286,0.3333333333333333,0.2857142857142857,0.6444444444444445,0.5918367346938775,,
A_P3,48k_to_12k,N0,1,52,105,0.5018518518518519,0.5333333333333333,3,0.5277777777777778,0.6785714285714286,0.3333333333333333,0.2857142857142857,0.6444444444444445,0.5918367346938775,,
A_P3,48k_to_12k,N0,2,52,105,0.5018518518518519,0.5333333333333333,3,0.5277777777777778,0.6785714285714286,0.3333333333333333,0.2857142857142857,0.6444444444444445,0.5918367346938775,,
A_P3,48k_to_12k,N6,0,52,105,0.5018518518518519,0.5333333333333333,3,0.5277777777777778,0.6785714285714286,0.3333333333333333,0.2857142857142857,0.6444444444444445,0.5918367346938775,,
A_P3,48k_to_12k,N6,1,52,105,0.5018518518518519,0.5333333333333333,3,0.5277777777777778,0.6785714285714286,0.3333333333333333,0.2857142857142857,0.6444444444444445,0.5918367346938775,,
A_P3,48k_to_12k,N6,2,52,105,0.5018518518518519,0.5333333333333333,3,0.5277777777777778,0.6785714285714286,0.3333333333333333,0.2857142857142857,0.6444444444444445,0.5918367346938775,,
