protocol,feature_set,model,seed,fold,n_train_files,n_test_files,n_train_windows,n_test_windows,n_features,fit_seconds,predict_ms_per_1k,accuracy,macro_f1,weighted_f1,n_classes,file_accuracy,file_macro_f1,n_test_files_eval,precision_B,recall_B,f1_B,precision_IR,recall_IR,f1_IR,precision_OR,recall_OR,f1_OR,precision_N,recall_N,f1_N
P5,F2,svm,2,fold0,43,13,646,211,49,0.08805489540100098,50.54586871540377,0.3744075829383886,0.3054556336642717,0.3558177429360553,4,0.38461538461538464,0.29871794871794877,13,0.3,0.26666666666666666,0.2823529411764706,0.5151515151515151,0.37777777777777777,0.4358974358974359,0.3983739837398374,0.5444444444444444,0.460093896713615,0.06666666666666667,0.03225806451612903,0.043478260869565216
P5,F2,svm,2,fold1,43,13,646,211,49,0.0879209041595459,56.31424239461456,0.6208530805687204,0.4757679092717456,0.5707148453296985,4,0.6923076923076923,0.5256410256410257,13,0.3888888888888889,0.4666666666666667,0.42424242424242425,0.75,0.6666666666666666,0.7058823529411765,0.6837606837606838,0.8888888888888888,0.7729468599033816,0.0,0.0,0.0
P5,F2,svm,2,fold2,45,11,693,164,49,0.11241650581359863,57.83104315036681,0.7560975609756098,0.7326433004746258,0.764898173625767,4,0.8181818181818182,0.8250000000000001,11,0.4666666666666667,0.7,0.56,1.0,0.7368421052631579,0.8484848484848485,0.8658536585365854,0.8452380952380952,0.8554216867469879,0.782608695652174,0.5806451612903226,0.6666666666666666
P5,F2,svm,2,fold3,46,10,715,142,49,0.11792588233947754,53.82383373421683,0.6549295774647887,0.5053146853146853,0.5992908499950753,4,0.7,0.5333333333333333,10,0.8,0.4,0.5333333333333333,0.6222222222222222,0.9333333333333333,0.7466666666666667,0.6625,0.8412698412698413,0.7412587412587412,0.0,0.0,0.0
P5,F2,svm,2,fold4,47,9,728,129,49,0.1487283706665039,83.46868115802143,0.8604651162790697,0.8435897435897436,0.8559928443649374,3,0.8888888888888888,0.8585858585858586,9,1.0,0.7333333333333333,0.8461538461538461,1.0,0.6666666666666666,0.8,0.7931034482758621,1.0,0.8846153846153846,,,
P5,F2,rf,0,fold0,43,13,646,211,49,0.9229440689086914,82.09395747614133,0.6635071090047393,0.6550806620574063,0.6574183574073357,4,0.6923076923076923,0.6818181818181819,13,0.24390243902439024,0.2222222222222222,0.23255813953488372,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7317073170731707,0.6666666666666666,0.6976744186046512,0.6511627906976745,0.9032258064516129,0.7567567567567568
P5,F2,rf,0,fold1,43,13,646,211,49,0.9419598579406738,81.04875754406102,0.7109004739336493,0.5574571128486404,0.6586560504939275,4,0.7692307692307693,0.580952380952381,13,0.49230769230769234,0.7111111111111111,0.5818181818181818,0.967741935483871,0.6666666666666666,0.7894736842105263,0.7652173913043478,0.9777777777777777,0.8585365853658536,0.0,0.0,0.0
P5,F2,rf,0,fold2,45,11,693,164,49,1.024627447128296,103.01717897740807,0.8658536585365854,0.8415071770334929,0.8558631890146653,4,0.8181818181818182,0.7976190476190476,11,1.0,0.5,0.6666666666666666,1.0,0.7368421052631579,0.8484848484848485,0.7924528301886793,1.0,0.8842105263157894,1.0,0.9354838709677419,0.9666666666666667
P5,F2,rf,0,fold3,46,10,715,142,49,1.0861144065856934,120.20661797322019,0.7464788732394366,0.6836515875551685,0.7351022348112812,4,0.8,0.6388888888888888,10,0.5,0.9,0.6428571428571429,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.8679245283018868,0.7301587301587301,0.7931034482758621,1.0,0.21052631578947367,0.34782608695652173
P5,F2,rf,0,fold4,47,9,728,129,49,1.0400748252868652,127.43565463280493,0.9302325581395349,0.925010940048534,0.929172321723467,3,1.0,1.0,9,1.0,0.9,0.9473684210526315,1.0,0.8,0.8888888888888888,0.8846153846153846,1.0,0.9387755102040817,,,
P5,F2,rf,1,fold0,43,13,646,211,49,0.9252958297729492,81.59678129223286,0.6635071090047393,0.6592585575344196,0.6582986877479441,4,0.6923076923076923,0.6818181818181819,13,0.2619047619047619,0.24444444444444444,0.25287356321839083,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.6923076923076923,0.8709677419354839,0.7714285714285715
P5,F2,rf,1,fold1,43,13,646,211,49,0.9457063674926758,82.66458014176355,0.7440758293838863,0.5919763985090618,0.6936243919739599,4,0.7692307692307693,0.580952380952381,13,0.5,0.7333333333333333,0.5945945945945946,1.0,0.8,0.8888888888888888,0.8073394495412844,0.9777777777777777,0.8844221105527639,0.0,0.0,0.0
P5,F2,rf,1,fold2,45,11,693,164,49,1.00437331199646,110.5099189572218,0.8658536585365854,0.8415071770334929,0.8558631890146653,4,0.8181818181818182,0.7976190476190476,11,1.0,0.5,0.6666666666666666,1.0,0.7368421052631579,0.8484848484848485,0.7924528301886793,1.0,0.8842105263157894,1.0,0.9354838709677419,0.9666666666666667
P5,F2,rf,1,fold3,46,10,715,142,49,1.0657243728637695,119.40237501977195,0.7394366197183099,0.6816499218511605,0.7307880539832219,4,0.8,0.6388888888888888,10,0.4745762711864407,0.9333333333333333,0.6292134831460674,0.9375,1.0,0.967741935483871,0.9148936170212766,0.6825396825396826,0.7818181818181819,1.0,0.21052631578947367,0.34782608695652173
P5,F2,rf,1,fold4,47,9,728,129,49,1.0340485572814941,128.06774109833,0.9147286821705426,0.9080514315413645,0.9135304977352736,3,1.0,1.0,9,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8,0.8888888888888888,0.8625,1.0,0.9261744966442953,,,
P5,F2,rf,2,fold0,43,13,646,211,49,0.9234609603881836,84.79565805733488,0.6635071090047393,0.6575388712685285,0.6584027598898645,4,0.6923076923076923,0.6818181818181819,13,0.2619047619047619,0.24444444444444444,0.25287356321839083,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.7228915662650602,0.6666666666666666,0.6936416184971098,0.675,0.8709677419354839,0.7605633802816901
P5,F2,rf,2,fold1,43,13,646,211,49,1.0448403358459473,90.52787346862503,0.7393364928909952,0.5876568758344459,0.6889963869677738,4,0.8461538461538461,0.6474358974358974,13,0.46774193548387094,0.6444444444444445,0.5420560747663551,1.0,0.8666666666666667,0.9285714285714286,0.8,0.9777777777777777,0.88,0.0,0.0,0.0
P5,F2,rf,2,fold2,45,11,693,164,49,1.0061078071594238,102.88197819779559,0.8658536585365854,0.8415071770334929,0.8558631890146653,4,0.8181818181818182,0.7976190476190476,11,1.0,0.5,0.6666666666666666,1.0,0.7368421052631579,0.8484848484848485,0.7924528301886793,1.0,0.8842105263157894,1.0,0.9354838709677419,0.9666666666666667
P5,F2,rf,2,fold3,46,10,715,142,49,1.0779588222503662,117.75023500684281,0.7464788732394366,0.6974368471461494,0.7413468344110336,4,0.8,0.6388888888888888,10,0.48214285714285715,0.9,0.627906976744186,0.9090909090909091,1.0,0.9523809523809523,0.9166666666666666,0.6984126984126984,0.7927927927927928,1.0,0.2631578947368421,0.4166666666666667
P5,F2,rf,2,fold4,47,9,728,129,49,1.0541911125183105,129.47052948234617,0.9224806201550387,0.9166309166309166,0.9214081190825376,3,1.0,1.0,9,1.0,0.8666666666666667,0.9285714285714286,1.0,0.8,0.8888888888888888,0.8734177215189873,1.0,0.9324324324324325,,,
P5,F2,hgb,0,fold0,43,13,646,211,49,1.0190436840057373,91.85668981470768,0.6966824644549763,0.7101967253176931,0.6916199913830245,4,0.6923076923076923,0.7499999999999999,13,0.3023255813953488,0.28888888888888886,0.29545454545454547,0.8627450980392157,0.9777777777777777,0.9166666666666666,0.7093023255813954,0.6777777777777778,0.6931818181818182,0.9354838709677419,0.9354838709677419,0.9354838709677419
P5,F2,hgb,0,fold1,43,13,646,211,49,1.0791876316070557,93.31770982787508,0.9241706161137441,0.9253286630578175,0.9198939378619369,4,0.9230769230769231,0.9307692307692308,13,0.967741935483871,0.6666666666666666,0.7894736842105263,1.0,0.9777777777777777,0.9887640449438202,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,1.0
P5,F2,hgb,0,fold2,45,11,693,164,49,1.1559431552886963,103.1858165089677,0.8902439024390244,0.8839742819273736,0.8844748169341232,4,0.9090909090909091,0.8974358974358974,11,0.9473684210526315,0.6,0.7346938775510204,1.0,0.9473684210526315,0.972972972972973,0.8681318681318682,0.9404761904761905,0.9028571428571428,0.8611111111111112,1.0,0.9253731343283582
P5,F2,hgb,0,fold3,46,10,715,142,49,1.1599006652832031,111.84014065164915,0.7816901408450704,0.6347905282331512,0.7430154698683907,4,0.8,0.6388888888888888,10,0.5087719298245614,0.9666666666666667,0.6666666666666666,0.967741935483871,1.0,0.9836065573770492,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.0,0.0,0.0
P5,F2,hgb,0,fold4,47,9,728,129,49,1.1806557178497314,120.61207793479741,0.9612403100775194,0.9593068758223023,0.961038623723805,3,1.0,1.0,9,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9,0.9473684210526315,0.9324324324324325,1.0,0.965034965034965,,,
P5,F2,hgb,1,fold0,43,13,646,211,49,1.048854112625122,92.43409215556501,0.6966824644549763,0.7101967253176931,0.6916199913830245,4,0.6923076923076923,0.7499999999999999,13,0.3023255813953488,0.28888888888888886,0.29545454545454547,0.8627450980392157,0.9777777777777777,0.9166666666666666,0.7093023255813954,0.6777777777777778,0.6931818181818182,0.9354838709677419,0.9354838709677419,0.9354838709677419
P5,F2,hgb,1,fold1,43,13,646,211,49,1.0739011764526367,95.4442679599563,0.9241706161137441,0.9253286630578175,0.9198939378619369,4,0.9230769230769231,0.9307692307692308,13,0.967741935483871,0.6666666666666666,0.7894736842105263,1.0,0.9777777777777777,0.9887640449438202,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,1.0
P5,F2,hgb,1,fold2,45,11,693,164,49,1.1469438076019287,104.686109031119,0.8902439024390244,0.8839742819273736,0.8844748169341232,4,0.9090909090909091,0.8974358974358974,11,0.9473684210526315,0.6,0.7346938775510204,1.0,0.9473684210526315,0.972972972972973,0.8681318681318682,0.9404761904761905,0.9028571428571428,0.8611111111111112,1.0,0.9253731343283582
P5,F2,hgb,1,fold3,46,10,715,142,49,1.1184778213500977,115.00842134717485,0.7816901408450704,0.6347905282331512,0.7430154698683907,4,0.8,0.6388888888888888,10,0.5087719298245614,0.9666666666666667,0.6666666666666666,0.967741935483871,1.0,0.9836065573770492,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.0,0.0,0.0
P5,F2,hgb,1,fold4,47,9,728,129,49,1.1618645191192627,128.23038322981014,0.9612403100775194,0.9593068758223023,0.961038623723805,3,1.0,1.0,9,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9,0.9473684210526315,0.9324324324324325,1.0,0.965034965034965,,,
P5,F2,hgb,2,fold0,43,13,646,211,49,1.003404140472412,92.638612358491,0.6966824644549763,0.7101967253176931,0.6916199913830245,4,0.6923076923076923,0.7499999999999999,13,0.3023255813953488,0.28888888888888886,0.29545454545454547,0.8627450980392157,0.9777777777777777,0.9166666666666666,0.7093023255813954,0.6777777777777778,0.6931818181818182,0.9354838709677419,0.9354838709677419,0.9354838709677419
