protocol,feature_set,model,macro_f1_mean,macro_f1_std,acc_mean,acc_std,n_folds,n_seeds,n_classes,fit_s
P4,F6,svm,0.23362233421844902,0.0674455727919758,0.29820405327038574,0.08561139411391683,2,3,3,0.2425488233566284
P4,F7,lr,0.22357271924019925,0.06189857258066485,0.23635048551874246,0.060433176319524606,2,3,3,0.01886208852132157
P4,F7,hgb,0.2175361784557582,0.10346838628780124,0.26404747124058275,0.04173981794803087,2,3,3,0.6480523745218912
P4,F7,svm,0.20825538618338876,0.05417302477855441,0.25001666934909067,0.050717578652759825,2,3,3,0.1267230113347371
P5,F7,rf,0.8914063265939759,0.07853381590859036,0.88062011339024,0.09370054099627831,5,3,4,0.6173649470011393
P5,F1,rf,0.8890861053182054,0.076865815474463,0.8825061337857221,0.0863727464195474,5,3,4,0.9948390483856201
P5,F1,hgb,0.8858818003864825,0.07497896235909159,0.8768908096597153,0.08644773715191076,5,3,4,1.5294052441914876
P5,F7,lr,0.8469547886513631,0.17271450474480352,0.8762181690303652,0.11243769928098195,5,3,4,0.022722800572713166
P5,F2,hgb,0.8227194148716676,0.13167783179677545,0.8508054867860669,0.10106347165757135,5,3,4,1.1110149065653483
P5,F6,hgb,0.8172355923469842,0.1069151987035423,0.8018240940951624,0.12681637859079983,5,3,4,0.7071778138478597
P5,F6,rf,0.7994266818612231,0.10268697669277482,0.7859550180338721,0.11877524170894327,5,3,4,0.6892219384511312
P5,F1,svm,0.7803219008888576,0.16090514598849986,0.8085564838926432,0.11210074079276869,5,3,4,0.06670866012573239
P5,F1,lr,0.7784049348322516,0.16906988572540138,0.8224027670822065,0.11670179486247821,5,3,4,0.048180548350016235
P5,F7,svm,0.7725496717731344,0.1950599266376133,0.8388835431541577,0.12918988806149995,5,3,4,0.032107988993326786
P5,F7,hgb,0.7670178961145312,0.2260997380818333,0.8216725738781319,0.16177058262766109,5,3,4,0.5592350641886393
P5,F2,rf,0.7363947769284184,0.12866015531280797,0.7854820883663203,0.09820075323651309,5,3,4,1.0064952055613199
P5,F6,svm,0.7148385139555617,0.10619330962826899,0.7047123524591202,0.11608525451675407,5,3,4,0.06809496879577634
P5,F6,lr,0.714297995603446,0.11437548344318327,0.704975611699695,0.11168259752361565,5,3,4,0.030237166086832634
P5,F3,lr,0.7056402090777236,0.1402541839213313,0.7659088137972812,0.11147158094240016,5,3,4,0.1814860979715983
P5,F3,rf,0.66631078518659,0.17396999096361362,0.7367761838047947,0.14342278068439623,5,3,4,0.924323574701945
P5,F3,svm,0.6634842739994714,0.17339661267407666,0.7362591077582117,0.1299350879161258,5,3,4,0.0872205257415771
P5,F3,hgb,0.6387235465782376,0.19258879922752897,0.7233883376496976,0.16134788991265134,5,3,4,1.2931841214497883
P5,F2,lr,0.5984777796057789,0.200913243915964,0.6878791083314468,0.16176731365750524,5,3,4,0.11822934150695796
P5,F2,svm,0.5720486029297177,0.19857228801748555,0.6526281238140821,0.1686937755124251,5,3,4,0.10754513740539548
